country,year,Inflation_rate,Lending_interest_rate,Unemployment_rate
United States,1970,5.838255338,7.91,4.900000095
United States,1971,4.292766688,5.723333333,5.900000095
United States,1972,3.272278247,5.248333333,5.599999905
United States,1973,6.177760064,8.021666667,4.900000095
United States,1974,11.0548048,10.79833333,5.599999905
United States,1975,9.143146865,7.8625,8.5
United States,1976,5.744812635,6.84,7.699999809
United States,1977,6.501683995,6.824166667,7.099999905
United States,1978,7.630963839,9.056666667,6.099999905
United States,1979,11.25447113,12.66583333,5.800000191
United States,1980,13.54920197,15.26583333,7.099999905
United States,1981,10.33471534,18.87,7.599999905
United States,1982,6.131427,14.86083333,9.699999809
United States,1983,3.212435233,10.79416667,9.600000381
United States,1984,4.300535475,12.0425,7.5
United States,1985,3.545644152,9.933333333,7.199999809
United States,1986,1.898047722,8.3325,7
United States,1987,3.664563218,8.203333333,6.199999809
United States,1988,4.077741107,9.315,5.5
United States,1989,4.82700303,10.87333333,5.300000191
United States,1990,5.39795644,10.00916667,5.599999905
United States,1991,4.234963965,8.463333333,6.800000191
United States,1992,3.028819678,6.251666667,7.5
United States,1993,2.951656966,6,6.900000095
United States,1994,2.607441592,7.138333333,6.119999886
United States,1995,2.805419689,8.829166667,5.650000095
United States,1996,2.9312042,8.270833333,5.449999809
United States,1997,2.337689937,8.441666667,5
United States,1998,1.552279099,8.354166667,4.510000229
United States,1999,2.188027197,7.994166667,4.21999979
United States,2000,3.376857271,9.233333333,3.99000001
United States,2001,2.826171119,6.921666667,4.730000019
United States,2002,1.586031627,4.675,5.78000021
United States,2003,2.270094973,4.1225,5.989999771
United States,2004,2.677236693,4.34,5.53000021
United States,2005,3.392746845,6.189166667,5.079999924
United States,2006,3.225944101,7.9575,4.619999886
United States,2007,2.852672482,8.05,4.619999886
United States,2008,3.839100297,5.0875,5.78000021
United States,2009,-0.355546266,3.25,9.25
United States,2010,1.640043442,3.25,9.630000114
United States,2011,3.156841569,3.25,8.949999809
United States,2012,2.069337265,3.25,8.069999695
United States,2013,1.464832656,3.25,7.369999886
United States,2014,1.622222977,3.25,6.170000076
United States,2015,0.118627136,3.26,5.28000021
United States,2016,1.261583206,3.511666667,4.869999886
United States,2017,2.130110004,4.096666667,4.360000134
United States,2018,2.442583297,4.904166667,3.900000095
United States,2019,1.812210075,5.2825,3.670000076
United States,2020,1.233584396,3.544166667,8.050000191
United States,2021,4.697858864,3.25,5.349999905
