country,year,Inflation_Rate,Unemployment_Rate
United States,1970,5.838255338,4.900000095
United States,1971,4.292766688,5.900000095
United States,1972,3.272278247,5.599999905
United States,1973,6.177760064,4.900000095
United States,1974,11.0548048,5.599999905
United States,1975,9.143146865,8.5
United States,1976,5.744812635,7.699999809
United States,1977,6.501683995,7.099999905
United States,1978,7.630963839,6.099999905
United States,1979,11.25447113,5.800000191
United States,1980,13.54920197,7.099999905
United States,1981,10.33471534,7.599999905
United States,1982,6.131427,9.699999809
United States,1983,3.212435233,9.600000381
United States,1984,4.300535475,7.5
United States,1985,3.545644152,7.199999809
United States,1986,1.898047722,7
United States,1987,3.664563218,6.199999809
United States,1988,4.077741107,5.5
United States,1989,4.82700303,5.300000191
United States,1990,5.39795644,5.599999905
United States,1991,4.234963965,6.800000191
United States,1992,3.028819678,7.5
United States,1993,2.951656966,6.900000095
United States,1994,2.607441592,6.119999886
United States,1995,2.805419689,5.650000095
United States,1996,2.9312042,5.449999809
United States,1997,2.337689937,5
United States,1998,1.552279099,4.510000229
United States,1999,2.188027197,4.21999979
United States,2000,3.376857271,3.99000001
United States,2001,2.826171119,4.730000019
United States,2002,1.586031627,5.78000021
United States,2003,2.270094973,5.989999771
United States,2004,2.677236693,5.53000021
United States,2005,3.392746845,5.079999924
United States,2006,3.225944101,4.619999886
United States,2007,2.852672482,4.619999886
United States,2008,3.839100297,5.78000021
United States,2009,-0.355546266,9.25
United States,2010,1.640043442,9.630000114
United States,2011,3.156841569,8.949999809
United States,2012,2.069337265,8.069999695
United States,2013,1.464832656,7.369999886
United States,2014,1.622222977,6.170000076
United States,2015,0.118627136,5.28000021
United States,2016,1.261583206,4.869999886
United States,2017,2.130110004,4.360000134
United States,2018,2.442583297,3.900000095
United States,2019,1.812210075,3.670000076
United States,2020,1.233584396,8.050000191
United States,2021,4.697858864,5.349999905
